month,region,channel,revenue_usd,orders,ad_spend_usd
2026-01,North,Online,125000,820,18000
2026-01,Central,Retail,98000,640,12000
2026-01,South,Online,87000,590,14000
2026-02,North,Online,131500,860,18500
2026-02,Central,Retail,101000,655,12200
2026-02,South,Online,90500,605,14200
2026-03,North,Online,143000,910,21000
2026-03,Central,Retail,97000,615,12600
2026-03,South,Online,96000,640,15000
2026-04,North,Online,147500,935,22500
2026-04,Central,Retail,108000,690,13000
2026-04,South,Online,99000,655,15600
2026-05,North,Online,151000,955,23000
2026-05,Central,Retail,111500,705,13200
2026-05,South,Online,104000,680,16000
2026-06,North,Online,164000,1010,25000
2026-06,Central,Retail,95000,590,12900
2026-06,South,Online,109500,710,16800
