ticket_id,month,category,severity,first_response_minutes,resolution_hours,customer_segment,satisfaction_score
T-1001,2026-01,Login,Medium,18,6,SMB,4.2
T-1002,2026-01,Billing,High,11,15,Enterprise,3.8
T-1003,2026-01,Performance,Low,25,20,SMB,4.0
T-1004,2026-02,Login,High,9,8,Enterprise,4.3
T-1005,2026-02,API,Medium,22,18,Developer,3.9
T-1006,2026-02,Billing,High,10,16,Enterprise,3.7
T-1007,2026-03,Performance,Medium,28,24,SMB,3.6
T-1008,2026-03,Integration,High,14,30,Developer,3.4
T-1009,2026-03,Login,Low,16,5,SMB,4.4
T-1010,2026-04,Billing,Critical,7,48,Enterprise,2.8
T-1011,2026-04,API,High,13,22,Developer,3.5
T-1012,2026-04,Performance,Medium,30,26,SMB,3.3
T-1013,2026-05,Integration,Medium,20,21,Developer,3.8
T-1014,2026-05,Login,Low,15,4,SMB,4.5
T-1015,2026-05,Billing,High,9,19,Enterprise,3.6
T-1016,2026-06,Billing,Critical,6,55,Enterprise,2.6
T-1017,2026-06,API,High,12,27,Developer,3.2
T-1018,2026-06,Performance,Medium,33,31,SMB,3.1
